Branch,Option,bt_real,bt_user,bt_sys,BinarySize
icurl-00001-00006,"['--disable-shared', '--disable-largefile', '--disable-libtool-lock', '--disable-silent-rules', '--enable-debug', '--enable-optimize', '--enable-curldebug', '--disable-symbol-hiding', '--enable-maintainer-mode', '--disable-ares', '--enable-http', '--enable-ftp', '--disable-file', '--enable-ldap', '--disable-rtsp', '--enable-proxy', '--enable-telnet', '--disable-tftp', '--disable-imap', '--disable-smb', '--enable-smtp', '--disable-gopher', '--enable-mqtt', '--disable-manual', '--enable-openssl-auto-load-config', '--disable-versioned-symbols', '--enable-verbose', '--enable-crypto-auth', '--disable-ntlm-wb', '--enable-tls-srp', '--disable-http-auth', '--enable-doh', '--enable-mime', '--enable-netrc', '--enable-progress-meter', '--disable-dnsshuffle', '--enable-hsts', '--enable-hidden-symbols', '--enable-static', '--enable-fast-install']",65.298,56.839,9.147,4527616
icurl-00001-00015,"['--disable-shared', '--disable-largefile', '--disable-silent-rules', '--enable-debug', '--disable-warnings', '--enable-curldebug', '--enable-symbol-hiding', '--disable-hidden-symbols', '--enable-ares', '--enable-file', '--enable-ldaps', '--disable-proxy', '--enable-dict', '--enable-telnet', '--disable-tftp', '--disable-pop3', '--enable-imap', '--enable-smb', '--disable-smtp', '--enable-gopher', '--disable-manual', '--disable-libcurl-option', '--disable-ipv6', '--enable-versioned-symbols', '--enable-pthreads', '--enable-verbose', '--enable-sspi', '--disable-crypto-auth', '--disable-ntlm-wb', '--disable-tls-srp', '--disable-unix-sockets', '--enable-socketpair', '--enable-http-auth', '--disable-doh', '--disable-mime', '--enable-dateparse', '--disable-progress-meter', '--disable-dnsshuffle', '--disable-alt-svc', '--enable-hsts', '--enable-hidden-symbols', '--enable-code-coverage', '--enable-fast-install', '--enable-libgcc']",41.447,33.155,9.009,4115888
icurl-00001-00012,"['--disable-shared', '--disable-largefile', '--enable-debug', '--disable-optimize', '--disable-warnings', '--enable-curldebug', '--enable-symbol-hiding', '--disable-hidden-symbols', '--enable-ares', '--enable-http', '--enable-ftp', '--disable-file', '--enable-rtsp', '--enable-proxy', '--disable-telnet', '--enable-tftp', '--enable-imap', '--enable-smb', '--disable-gopher', '--enable-mqtt', '--enable-manual', '--enable-libcurl-option', '--enable-ipv6', '--disable-openssl-auto-load-config', '--enable-versioned-symbols', '--disable-threaded-resolver', '--disable-verbose', '--disable-sspi', '--disable-crypto-auth', '--enable-ntlm-wb', '--disable-unix-sockets', '--disable-cookies', '--disable-socketpair', '--disable-doh', '--disable-mime', '--disable-dateparse', '--disable-progress-meter', '--enable-dnsshuffle', '--disable-get-easy-options', '--enable-hsts', '--enable-fast-install', '--enable-libgcc']",37.471,29.622,8.675,3373904
icurl-00001-00014,"['--disable-shared', '--disable-libtool-lock', '--disable-debug', '--disable-warnings', '--enable-ares', '--enable-dependency-tracking', '--enable-http', '--disable-ftp', '--disable-ldap', '--enable-ldaps', '--disable-rtsp', '--enable-proxy', '--disable-dict', '--enable-tftp', '--disable-imap', '--disable-smtp', '--disable-libcurl-option', '--enable-ipv6', '--disable-openssl-auto-load-config', '--enable-versioned-symbols', '--disable-threaded-resolver', '--enable-verbose', '--enable-sspi', '--enable-crypto-auth', '--disable-ntlm-wb', '--enable-tls-srp', '--enable-unix-sockets', '--disable-cookies', '--enable-socketpair', '--disable-http-auth', '--disable-mime', '--disable-dateparse', '--disable-netrc', '--disable-progress-meter', '--enable-get-easy-options', '--disable-hsts', '--enable-code-coverage', '--enable-static', '--enable-fast-install']",19.715,15.760,4.331,4429120
icurl-00001-00005,"['--disable-shared', '--enable-silent-rules', '--disable-optimize', '--enable-warnings', '--disable-curldebug', '--disable-symbol-hiding', '--enable-maintainer-mode', '--disable-ares', '--enable-dependency-tracking', '--enable-http', '--enable-ftp', '--enable-file', '--enable-ldap', '--enable-ldaps', '--enable-telnet', '--enable-tftp', '--enable-pop3', '--disable-imap', '--enable-smb', '--disable-smtp', '--enable-gopher', '--enable-manual', '--enable-libcurl-option', '--enable-ipv6', '--enable-openssl-auto-load-config', '--enable-versioned-symbols', '--disable-verbose', '--disable-sspi', '--disable-ntlm-wb', '--enable-tls-srp', '--enable-cookies', '--enable-socketpair', '--disable-http-auth', '--disable-doh', '--disable-dateparse', '--disable-netrc', '--enable-progress-meter', '--disable-dnsshuffle', '--enable-alt-svc', '--enable-hidden-symbols']",21.229,17.911,3.698,1373432
icurl-00001-00020,"['--disable-shared', '--disable-largefile', '--disable-libtool-lock', '--disable-silent-rules', '--disable-optimize', '--enable-warnings', '--enable-curldebug', '--enable-symbol-hiding', '--disable-ares', '--enable-dependency-tracking', '--enable-http', '--enable-ldap', '--enable-ldaps', '--enable-rtsp', '--enable-proxy', '--enable-dict', '--enable-telnet', '--disable-tftp', '--disable-pop3', '--disable-imap', '--disable-smb', '--disable-smtp', '--enable-mqtt', '--enable-libcurl-option', '--enable-ipv6', '--disable-versioned-symbols', '--disable-sspi', '--disable-crypto-auth', '--disable-tls-srp', '--disable-unix-sockets', '--disable-cookies', '--disable-doh', '--enable-mime', '--disable-netrc', '--enable-progress-meter', '--disable-alt-svc', '--enable-hidden-symbols', '--enable-code-coverage', '--enable-fast-install', '--enable-libgcc']",25.376,21.300,4.389,4077992
icurl-00001-00010,"['--disable-shared', '--disable-libtool-lock', '--enable-silent-rules', '--enable-debug', '--disable-optimize', '--enable-warnings', '--disable-curldebug', '--enable-maintainer-mode', '--enable-ares', '--enable-http', '--disable-ftp', '--disable-file', '--disable-ldap', '--enable-rtsp', '--disable-proxy', '--enable-dict', '--enable-pop3', '--disable-imap', '--enable-smb', '--disable-smtp', '--disable-gopher', '--enable-manual', '--disable-libcurl-option', '--enable-ipv6', '--enable-openssl-auto-load-config', '--enable-versioned-symbols', '--disable-threaded-resolver', '--enable-pthreads', '--disable-verbose', '--disable-sspi', '--disable-crypto-auth', '--enable-ntlm-wb', '--enable-unix-sockets', '--enable-cookies', '--disable-socketpair', '--disable-http-auth', '--enable-doh', '--enable-mime', '--enable-netrc', '--enable-progress-meter', '--disable-get-easy-options', '--disable-alt-svc', '--enable-libgcc']",46.408,39.118,8.083,2970256
icurl-00001-00004,"['--disable-shared', '--disable-largefile', '--disable-libtool-lock', '--disable-silent-rules', '--enable-debug', '--disable-warnings', '--disable-symbol-hiding', '--disable-hidden-symbols', '--disable-ares', '--enable-dependency-tracking', '--disable-http', '--disable-file', '--enable-ldap', '--disable-ldaps', '--enable-proxy', '--enable-telnet', '--disable-pop3', '--enable-imap', '--enable-smb', '--enable-smtp', '--disable-gopher', '--disable-mqtt', '--enable-manual', '--enable-libcurl-option', '--enable-ipv6', '--disable-versioned-symbols', '--disable-threaded-resolver', '--enable-pthreads', '--disable-verbose', '--enable-sspi', '--disable-crypto-auth', '--disable-unix-sockets', '--enable-cookies', '--disable-http-auth', '--enable-mime', '--disable-dateparse', '--disable-netrc', '--disable-progress-meter', '--enable-dnsshuffle', '--disable-get-easy-options', '--disable-hsts', '--enable-static', '--enable-fast-install']",36.520,28.575,8.690,2990584
icurl-00001-00007,"['--disable-shared', '--disable-silent-rules', '--disable-debug', '--enable-optimize', '--disable-warnings', '--enable-curldebug', '--enable-ares', '--disable-http', '--disable-ftp', '--enable-file', '--enable-ldap', '--enable-ldaps', '--enable-proxy', '--enable-dict', '--enable-tftp', '--disable-pop3', '--enable-imap', '--disable-smb', '--disable-smtp', '--disable-mqtt', '--disable-manual', '--enable-libcurl-option', '--disable-ipv6', '--enable-openssl-auto-load-config', '--enable-versioned-symbols', '--disable-threaded-resolver', '--enable-verbose', '--disable-crypto-auth', '--disable-ntlm-wb', '--enable-tls-srp', '--enable-unix-sockets', '--enable-cookies', '--enable-socketpair', '--disable-mime', '--enable-netrc', '--disable-progress-meter', '--enable-dnsshuffle', '--disable-get-easy-options', '--disable-alt-svc', '--enable-hsts', '--enable-hidden-symbols', '--enable-code-coverage', '--enable-libgcc']",27.046,22.885,4.483,3779768
icurl-00001-00017,"['--disable-shared', '--disable-largefile', '--enable-silent-rules', '--disable-debug', '--enable-optimize', '--disable-warnings', '--disable-curldebug', '--disable-hidden-symbols', '--enable-ares', '--enable-dependency-tracking', '--enable-http', '--enable-ftp', '--enable-file', '--enable-ldap', '--disable-ldaps', '--enable-proxy', '--enable-dict', '--disable-telnet', '--enable-tftp', '--disable-pop3', '--disable-smb', '--enable-smtp', '--enable-gopher', '--enable-mqtt', '--disable-libcurl-option', '--disable-ipv6', '--disable-openssl-auto-load-config', '--disable-versioned-symbols', '--enable-pthreads', '--enable-verbose', '--enable-sspi', '--disable-crypto-auth', '--disable-ntlm-wb', '--disable-tls-srp', '--enable-cookies', '--enable-http-auth', '--disable-doh', '--disable-mime', '--enable-netrc', '--disable-progress-meter', '--enable-get-easy-options', '--disable-alt-svc', '--enable-hsts', '--enable-hidden-symbols', '--enable-fast-install']",21.062,17.441,3.976,855168
