Branch,Option,bt_real,bt_user,bt_sys,BinarySize
xterm-00006,"['--disable-ansi-color', '--disable-16-color', '--disable-256-color', '--disable-88-color', '--disable-broken-st', '--enable-builtin-xpms', '--disable-c1-print', '--disable-color-class', '--disable-color-mode', '--disable-highlighting', '--disable-boxchars', '--enable-double-buffer', '--disable-freetype', '--with-freetype-libs', '--enable-sco-fkeys', '--disable-sun-fkeys', '--disable-fifo-lines', '--enable-load-vt-fonts', '--enable-logging', '--enable-logfile-exec', '--enable-readline-mouse', '--with-pcre2', '--disable-rightbar', '--disable-selection-ops', '--disable-tcap-fkeys', '--enable-toolbar', '--disable-vt52', '--disable-wide-chars', '--enable-mini-luit', '--enable-regis-graphics', '--disable-sixel-graphics', '--disable-print-graphics', '--disable-ziconbeep']",9.874,9.093,0.753,3015768
xterm-00015,"['--disable-active-icon', '--disable-16-color', '--disable-256-color', '--disable-88-color', '--disable-broken-st', '--enable-builtin-xpms', '--disable-color-mode', '--disable-highlighting', '--disable-boxchars', '--enable-exec-xterm', '--enable-double-buffer', '--disable-freetype', '--with-freetype-cflags', '--enable-hp-fkeys', '--disable-initial-erase', '--disable-input-method', '--enable-logging', '--disable-num-lock', '--disable-paste64', '--disable-regex', '--with-pcre', '--disable-rightbar', '--disable-samename', '--disable-selection-ops', '--disable-session-mgt', '--disable-tek4014', '--enable-toolbar', '--disable-wide-chars', '--enable-16bit-chars', '--enable-mini-luit', '--enable-dabbrev', '--disable-rectangles', '--disable-ziconbeep']",10.193,9.533,0.627,3057856
xterm-00012,"['--disable-active-icon', '--disable-ansi-color', '--disable-16-color', '--disable-direct-color', '--disable-88-color', '--disable-blink-cursor', '--enable-broken-osc', '--enable-builtin-xpms', '--disable-bold-color', '--enable-double-buffer', '--with-freetype-config', '--with-freetype-libs', '--disable-sun-fkeys', '--disable-initial-erase', '--disable-input-method', '--enable-load-vt-fonts', '--disable-num-lock', '--disable-paste64', '--disable-regex', '--with-pcre2', '--with-pcre', '--disable-selection-ops', '--disable-tcap-query', '--enable-toolbar', '--disable-vt52', '--disable-wide-attrs', '--disable-wide-chars', '--enable-mini-luit', '--disable-luit', '--enable-dabbrev', '--enable-dec-locator', '--enable-regis-graphics', '--disable-sixel-graphics', '--disable-print-graphics']",9.010,8.391,0.594,2883584
xterm-00014,"['--disable-ansi-color', '--disable-256-color', '--disable-88-color', '--disable-blink-cursor', '--disable-broken-st', '--disable-color-class', '--enable-exec-xterm', '--enable-double-buffer', '--with-freetype-config', '--enable-sco-fkeys', '--disable-sun-fkeys', '--enable-load-vt-fonts', '--disable-rightbar', '--disable-selection-ops', '--disable-session-mgt', '--disable-tcap-fkeys', '--disable-tcap-query', '--disable-tek4014', '--enable-toolbar', '--disable-wide-chars', '--disable-luit', '--enable-dec-locator', '--disable-screen-dumps', '--enable-regis-graphics', '--disable-sixel-graphics', '--disable-rectangles']",8.861,8.289,0.546,2743048
xterm-00005,"['--disable-16-color', '--disable-256-color', '--disable-direct-color', '--enable-broken-osc', '--disable-bold-color', '--disable-highlighting', '--disable-doublechars', '--enable-exec-xterm', '--enable-double-buffer', '--with-freetype-cflags', '--enable-sco-fkeys', '--disable-i18n', '--disable-initial-erase', '--disable-input-method', '--disable-maximize', '--disable-num-lock', '--enable-readline-mouse', '--disable-samename', '--disable-selection-ops', '--disable-session-mgt', '--disable-tcap-fkeys', '--disable-tcap-query', '--enable-toolbar', '--disable-wide-chars', '--enable-16bit-chars', '--enable-dec-locator', '--enable-regis-graphics', '--disable-print-graphics', '--disable-ziconbeep']",11.728,10.979,0.715,3456200
xterm-00020,"['--disable-ansi-color', '--disable-16-color', '--disable-direct-color', '--disable-88-color', '--disable-blink-cursor', '--enable-broken-osc', '--enable-builtin-xpms', '--disable-bold-color', '--disable-color-mode', '--disable-boxchars', '--disable-freetype', '--with-freetype-config', '--with-freetype-libs', '--enable-hp-fkeys', '--disable-i18n', '--disable-input-method', '--enable-load-vt-fonts', '--disable-maximize', '--disable-num-lock', '--disable-paste64', '--disable-pty-handshake', '--with-pcre', '--disable-samename', '--disable-selection-ops', '--disable-tcap-fkeys', '--disable-tek4014', '--disable-vt52', '--disable-wide-attrs', '--disable-wide-chars', '--enable-16bit-chars', '--enable-dec-locator', '--disable-screen-dumps', '--enable-regis-graphics', '--disable-print-graphics', '--disable-ziconbeep']",10.844,10.025,0.789,3034008
xterm-00010,"['--disable-active-icon', '--disable-16-color', '--disable-88-color', '--disable-blink-cursor', '--disable-broken-st', '--disable-c1-print', '--disable-color-class', '--disable-highlighting', '--enable-double-buffer', '--with-freetype-config', '--with-freetype-libs', '--enable-sco-fkeys', '--disable-sun-fkeys', '--disable-i18n', '--disable-initial-erase', '--enable-load-vt-fonts', '--enable-logging', '--enable-logfile-exec', '--enable-readline-mouse', '--with-pcre2', '--with-pcre', '--disable-samename', '--disable-selection-ops', '--disable-session-mgt', '--disable-tcap-fkeys', '--disable-tcap-query', '--enable-toolbar', '--disable-wide-attrs', '--disable-wide-chars', '--enable-16bit-chars', '--enable-mini-luit', '--disable-screen-dumps', '--disable-sixel-graphics', '--disable-print-graphics', '--disable-rectangles', '--disable-ziconbeep']",10.699,9.954,0.716,3023648
xterm-00004,"['--disable-ansi-color', '--disable-direct-color', '--disable-blink-cursor', '--enable-broken-osc', '--disable-broken-st', '--enable-builtin-xpms', '--disable-c1-print', '--disable-color-mode', '--disable-freetype', '--with-freetype-config', '--with-freetype-cflags', '--with-freetype-libs', '--enable-hp-fkeys', '--disable-sun-fkeys', '--disable-initial-erase', '--disable-input-method', '--enable-load-vt-fonts', '--disable-maximize', '--disable-rightbar', '--disable-selection-ops', '--disable-tcap-query', '--disable-vt52', '--disable-wide-attrs', '--disable-wide-chars', '--enable-16bit-chars', '--enable-mini-luit', '--enable-regis-graphics', '--disable-print-graphics']",11.316,10.576,0.704,3344192
xterm-00007,"['--disable-ansi-color', '--disable-16-color', '--disable-broken-st', '--disable-bold-color', '--disable-color-class', '--disable-color-mode', '--disable-highlighting', '--disable-doublechars', '--disable-boxchars', '--enable-double-buffer', '--with-freetype-config', '--with-freetype-libs', '--disable-i18n', '--disable-input-method', '--enable-logging', '--enable-logfile-exec', '--disable-maximize', '--disable-pty-handshake', '--disable-regex', '--with-pcre2', '--with-pcre', '--disable-selection-ops', '--disable-tcap-fkeys', '--disable-tcap-query', '--disable-vt52', '--disable-wide-attrs', '--enable-16bit-chars', '--enable-mini-luit', '--disable-luit', '--enable-dabbrev', '--disable-sixel-graphics', '--disable-rectangles']",9.676,9.032,0.613,2857160
xterm-00017,"['--disable-16-color', '--disable-256-color', '--disable-direct-color', '--disable-blink-cursor', '--disable-bold-color', '--disable-color-mode', '--disable-highlighting', '--disable-doublechars', '--disable-boxchars', '--enable-exec-xterm', '--with-freetype-config', '--with-freetype-cflags', '--enable-sco-fkeys', '--disable-fifo-lines', '--disable-i18n', '--disable-initial-erase', '--enable-load-vt-fonts', '--enable-logfile-exec', '--disable-maximize', '--enable-readline-mouse', '--disable-regex', '--with-pcre', '--disable-rightbar', '--disable-session-mgt', '--disable-tcap-fkeys', '--disable-tcap-query', '--disable-tek4014', '--disable-wide-chars', '--disable-luit', '--enable-dec-locator', '--disable-screen-dumps', '--disable-sixel-graphics', '--disable-rectangles']",7.667,7.145,0.495,2393760
